song_id,line
36,И крепкий холод не даёт сжигать мосты
36,Я улечу на пару дней или недель
36,Но для тебя это самый ужасный день
36,Мы грустим по обе стороны Земли
36,"Сейчас в достатке, ну а завтра на мели"
36,"Мне жаль, но планеты не вращаются"
36,Даже все кометы попрощаются с тобой
37,Но в них нет слова мы
37,Как мне объяснить что я не болен
37,Вряд ли в этой жизни буду понят
37,Я хочу оказаться единым с собой
37,В унисон бы пылать с этим городом
37,"Я не знаю, где с вами окажемся"
37,"Перед тем, как останется сажа, мы"
38,Я просто не хочу быть громким
38,"Знаешь, я бы мог других спокойно"
38,Есть только слух о моих фобиях
38,"Знаешь, каждая звезда на небе скоро сдохнет"
38,"Кто вообще придумал фразы, в роде горький опыт"
38,В этой перепалке ты пойдешь как соучастница
38,Если не в одной лиге 
38,Ты знаешь сколько нечисти я на пути найду
38,"Сердце — это всё, что я, наверное, украду"
38,"Только не ревнуй, я знаю, что не подведу"
38,"Всё это понарошку, я их всех видал в гробу "
38,"Часы, минуты, дни — то, что бы вернул"
38,Наверстаем в небе или помянем в аду
38,"Я азартный — вывод из того, что на кону"
38,Ты видишь с кем приходится мне делить волну
38,"Минуты, дни — то, что бы вернул"
39,Что все это просто не попусту 
39,Эти дела лучше кинуть в вагон
39,Где сидит моё прошлое и плача
39,Ты со мной когда буду богатым
39,"Что я работаю, не видя сутки"
39,"Эй, не нравится то, что я вижу"
39,Я бы сравнял себя с грунтом
39,"Да я устал, хоть мне двадцать"
39,"Похер, что будет. Похер, что будет"
39,Но папа не верил в таланты
39,В руки лопату — я так вскопал андер
39,"Да, мне не нравится то, что я вижу"
39,Скоро концерт на количество энное 
39,"Не нравится то, что я вижу"
40,"Новость, что могу я и не проснуться днесь"
40,"И вокруг витает мошкара, похожая на свинец"
40,"Зарой, пока трубач окаянный не выдует медь"
40,"Я вырою нору, да поглубже, буду вещать"
40,Растолкую как меня будет лучше отпеть
40,Нам необходимо убегать — это факт
40,Пробегись со мною за руку по краю льда
40,"Все механизмы сносятся, и вот в нас летит плита"
40,"Вижу, как грузная, будто тело, забывшее свою силу "
40,"Ведь знает, что нас всех смажет"
40,"Может быть, у берега накроет волна"
40,"Камнем ринусь к берегу, чтобы достать дна"
40,"Мы гадаем, кто на небе том погасит свет нам"
40,"Я воскресну, став твоим лишь патроном"
40,"Опрокинуть тех, кому нету дела до"
40,Мы давно под наблюдением дронов и
40,Наши судьбы в руках у демонов
40,"Все механизмы сносятся, и в нас летит плита"
41,Твой урок для меня очень дорог
41,Ты птицей был — ей и взмахнул
41,"Не верю, что друг мой отныне невидимый"
41,"Память — наш долг, хоть на сердце осколок"
41,"Бился за жизни, а жизнь не игрушка"
41,"Жаль, я не рядом, но знаю: ты видишь"
41,"Сеет страх, а в глазах рябит"
41,"Правда, горько. Лучше бы этого не было"
41,Ты и так был будто ангел-хранитель нам
41,Сколько планов в миг внезапно обрушилось
41,И стихи твои на музыку крошатся
41,Птица в небо так стремительно целится
41,"Я надеюсь, мне всё это привиделось"
41,"Верю в то, что всё же есть правосудие"
41,"Я не знаю, брат, когда мы заловимся"
41,Я диктую танец в честь победителя
42,"Что за вопросы, слушай, парень, ты бредишь"
42,"Что за дела? Это что, такой фетиш"
42,Ваш образ жизни для общества вреден
42,"Выгляжу так, что меня приняли за гангста"
42,"Прага кишит слухами, что я из иной касты"
42,"Но я — лучик света, они зовут меня бласта"
42,"Тем припевам, что скандировали эти дураки"
42,"Боссы не знают, что меняются прайсы"
42,Если там всё же есть и наблюдает кино
42,То тогда я залягу на дно
42,Пока закипает в моих жилах бетон
42,"Чекай, как я из воды сделал вино"
42,"Ясно, тянется, как леска, к шее"
42,Лестно. Уже без компании — не пусто
42,"Классно, насладись тем, что ты неизвестен"
42,Даже с кислой мордой буду в чьих-то интересах
43,"Тревога, тик, на нервах — я херачу стены"
43,"Днём я занят, вечерами обращаюсь к вере"
43,"Ночью снится, что с утра меня душат модели"
43,"Сплю и вижу, что мне кто-то выбивает двери"
43,"Кто позади, те слились и посланы нафиг — хьюман трафик"
43,"Я обскакал конкурентов, меняя на сильных, заполнив свой график"
43,"Сочинил, поменял, удалил и по новой — так и задавим"
